symbolic_name,numeric_event_id,authority_file,authority_line,generation_applicability,stock_profiler_exposed,custom_config_required,semantics_status,availability_classification
ETHOSU_PMU_WD_TRANS_WB1,51,dependencies/core-driver/include/pmu_ethosu.h,197,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_TRANS_WB2,52,dependencies/core-driver/include/pmu_ethosu.h,198,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_TRANS_WB3,53,dependencies/core-driver/include/pmu_ethosu.h,199,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM_RD_TRANS_ACCEPTED,54,dependencies/core-driver/include/pmu_ethosu.h,200,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM_RD_TRANS_COMPLETED,55,dependencies/core-driver/include/pmu_ethosu.h,201,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM_RD_DATA_BEAT_RECEIVED,56,dependencies/core-driver/include/pmu_ethosu.h,202,ETHOSU85,yes,no,EMITTED_IN_FROZEN_EVIDENCE,VERIFIED_AVAILABLE
ETHOSU_PMU_SRAM_RD_TRAN_REQ_STALLED,57,dependencies/core-driver/include/pmu_ethosu.h,203,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM_WR_TRANS_ACCEPTED,58,dependencies/core-driver/include/pmu_ethosu.h,204,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM_WR_TRANS_COMPLETED_M,59,dependencies/core-driver/include/pmu_ethosu.h,205,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM_WR_TRANS_COMPLETED_S,60,dependencies/core-driver/include/pmu_ethosu.h,206,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM_WR_DATA_BEAT_WRITTEN,61,dependencies/core-driver/include/pmu_ethosu.h,207,ETHOSU85,yes,no,EMITTED_IN_FROZEN_EVIDENCE,VERIFIED_AVAILABLE
ETHOSU_PMU_SRAM_WR_TRAN_REQ_STALLED,62,dependencies/core-driver/include/pmu_ethosu.h,208,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM_WR_DATA_BEAT_STALLED,63,dependencies/core-driver/include/pmu_ethosu.h,209,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM_ENABLED_CYCLES,64,dependencies/core-driver/include/pmu_ethosu.h,210,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM_RD_STALL_LIMIT,65,dependencies/core-driver/include/pmu_ethosu.h,211,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM_WR_STALL_LIMIT,66,dependencies/core-driver/include/pmu_ethosu.h,212,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_AXI_LATENCY_ANY,67,dependencies/core-driver/include/pmu_ethosu.h,213,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_AXI_LATENCY_32,68,dependencies/core-driver/include/pmu_ethosu.h,214,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_AXI_LATENCY_64,69,dependencies/core-driver/include/pmu_ethosu.h,215,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_AXI_LATENCY_128,70,dependencies/core-driver/include/pmu_ethosu.h,216,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_AXI_LATENCY_256,71,dependencies/core-driver/include/pmu_ethosu.h,217,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_AXI_LATENCY_512,72,dependencies/core-driver/include/pmu_ethosu.h,218,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_AXI_LATENCY_1024,73,dependencies/core-driver/include/pmu_ethosu.h,219,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_ECC_DMA,74,dependencies/core-driver/include/pmu_ethosu.h,220,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_ECC_MAC_IB,75,dependencies/core-driver/include/pmu_ethosu.h,221,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_ECC_MAC_AB,76,dependencies/core-driver/include/pmu_ethosu.h,222,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_ECC_AO_CB,77,dependencies/core-driver/include/pmu_ethosu.h,223,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_ECC_AO_OB,78,dependencies/core-driver/include/pmu_ethosu.h,224,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_ECC_AO_LUT,79,dependencies/core-driver/include/pmu_ethosu.h,225,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT_RD_TRANS_ACCEPTED,80,dependencies/core-driver/include/pmu_ethosu.h,226,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT_RD_TRANS_COMPLETED,81,dependencies/core-driver/include/pmu_ethosu.h,227,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT_RD_DATA_BEAT_RECEIVED,82,dependencies/core-driver/include/pmu_ethosu.h,228,ETHOSU85,yes,no,EMITTED_IN_FROZEN_EVIDENCE,VERIFIED_AVAILABLE
ETHOSU_PMU_EXT_RD_TRAN_REQ_STALLED,83,dependencies/core-driver/include/pmu_ethosu.h,229,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT_WR_TRANS_ACCEPTED,84,dependencies/core-driver/include/pmu_ethosu.h,230,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT_WR_TRANS_COMPLETED_M,85,dependencies/core-driver/include/pmu_ethosu.h,231,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT_WR_TRANS_COMPLETED_S,86,dependencies/core-driver/include/pmu_ethosu.h,232,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT_WR_DATA_BEAT_WRITTEN,87,dependencies/core-driver/include/pmu_ethosu.h,233,ETHOSU85,yes,no,EMITTED_IN_FROZEN_EVIDENCE,VERIFIED_AVAILABLE
ETHOSU_PMU_EXT_WR_TRAN_REQ_STALLED,88,dependencies/core-driver/include/pmu_ethosu.h,234,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT_WR_DATA_BEAT_STALLED,89,dependencies/core-driver/include/pmu_ethosu.h,235,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT_ENABLED_CYCLES,90,dependencies/core-driver/include/pmu_ethosu.h,236,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT_RD_STALL_LIMIT,91,dependencies/core-driver/include/pmu_ethosu.h,237,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT_WR_STALL_LIMIT,92,dependencies/core-driver/include/pmu_ethosu.h,238,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM0_RD_TRANS_ACCEPTED,93,dependencies/core-driver/include/pmu_ethosu.h,239,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM0_RD_TRANS_COMPLETED,94,dependencies/core-driver/include/pmu_ethosu.h,240,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM0_RD_DATA_BEAT_RECEIVED,95,dependencies/core-driver/include/pmu_ethosu.h,241,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM0_RD_TRAN_REQ_STALLED,96,dependencies/core-driver/include/pmu_ethosu.h,242,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM0_WR_TRANS_ACCEPTED,97,dependencies/core-driver/include/pmu_ethosu.h,243,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM0_WR_TRANS_COMPLETED_M,98,dependencies/core-driver/include/pmu_ethosu.h,244,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM0_WR_TRANS_COMPLETED_S,99,dependencies/core-driver/include/pmu_ethosu.h,245,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM0_WR_DATA_BEAT_WRITTEN,100,dependencies/core-driver/include/pmu_ethosu.h,246,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM0_WR_TRAN_REQ_STALLED,101,dependencies/core-driver/include/pmu_ethosu.h,247,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM0_WR_DATA_BEAT_STALLED,102,dependencies/core-driver/include/pmu_ethosu.h,248,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM0_ENABLED_CYCLES,103,dependencies/core-driver/include/pmu_ethosu.h,249,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
